Organism,Counts,placenta_type
Flat-Skulled Shrew (Sorex roboratus),1,Eutherian mammal
Four-Striped Grass Mouse (Rhabdomys pumilio),1,Eutherian mammal
Fox Squirrel (Sciurus niger),1,Eutherian mammal
Francois's Langur (Trachypithecus francoisi),1,Eutherian mammal
Fringed Myotis (Myotis thysanodes),1,Eutherian mammal
Gambian Giant Pouched Rat (Cricetomys gambianus),1,Eutherian mammal
Geoffroy's Marmoset (Callithrix geoffroyi),1,Eutherian mammal
Geoffroy's Trident Leaf-Nosed Bat (Asellia tridens),1,Eutherian mammal
Gerenuk (Litocranius walleri),1,Eutherian mammal
Giraffe (Giraffa camelopardalis),1,Eutherian mammal
Goat (Capra hircus),1,Eutherian mammal
Gobi Altai Mountain Vole (Alticola barakshin),1,Eutherian mammal
Golden Hamster (Mesocricetus auratus),1,Eutherian mammal
Golden-Mantled Ground Squirrel (Callospermophilus lateralis),1,Eutherian mammal
Grant's Gazelle (Nanger granti),1,Eutherian mammal
Gray Mouse Lemur (Microcebus murinus),1,Eutherian mammal
Gray Red-Backed Vole (Myodes rufocanus),1,Eutherian mammal
Gray Squirrel (Sciurus carolinensis),1,Eutherian mammal
Gray-Headed Flying Fox (Pteropus poliocephalus),1,Eutherian mammal
Great Gerbil (Rhombomys opimus),1,Eutherian mammal
Greater Hedgehog Tenrec (Setifer setosus),1,Eutherian mammal
Greater Horseshoe Bat (Rhinolophus ferrumequinum),1,Eutherian mammal
Greater Indian Rhinoceros (Rhinoceros unicornis),1,Eutherian mammal
Greater Kudu (Tragelaphus strepsiceros),1,Eutherian mammal
Greater Mouse-Eared Bat (Myotis myotis),1,Eutherian mammal
Greater Sac-Winged Bat (Saccopteryx bilineata),1,Eutherian mammal
Greater Spear-Nosed Bat (Phyllostomus hastatus),1,Eutherian mammal
Green Monkey (Chlorocebus sabaeus),1,Eutherian mammal
Grevy's Zebra (Equus grevyi),1,Eutherian mammal
Ground Pangolin (Smutsia temminckii),1,Eutherian mammal
Günther's Vole (Microtus guentheri),1,Eutherian mammal
Hairy-Tailed Mole (Parascalops breweri),1,Eutherian mammal
Halcyon Horseshoe Bat (Rhinolophus alcyone),1,Eutherian mammal
Harbor Porpoise (Phocoena phocoena),1,Eutherian mammal
Harbor Seal (Phoca vitulina),1,Eutherian mammal
Harp Seal (Phoca groenlandica),1,Eutherian mammal
Highland Tuco-Tuco (Ctenomys opimus),1,Eutherian mammal
Hoffmann's Two-Fingered Sloth (Choloepus hoffmanni),1,Eutherian mammal
Hottentot Golden Mole (Amblysomus hottentotus),1,Eutherian mammal
Hottentot Mole-Rat (Cryptomys hottentotus),1,Eutherian mammal
House Shrew (Suncus murinus),1,Eutherian mammal
Humpback Whale (Megaptera novaeangliae),1,Eutherian mammal
Hybrid Cattle (Bos indicus x Bos taurus),1,Eutherian mammal
Iberian Mole (Talpa occidentalis),1,Eutherian mammal
Impala (Aepyceros melampus),1,Eutherian mammal
Indo-Pacific Bottlenose Dolphin (Tursiops aduncus),1,Eutherian mammal
Jamaican Fruit-Eating Bat (Artibeus jamaicensis),1,Eutherian mammal
Killer Whale (Orcinus orca),1,Eutherian mammal
King Jird (Meriones rex),1,Eutherian mammal
Koala (Phascolarctos cinereus),1,Marsupial
Korean Field Mouse (Apodemus peninsulae),1,Eutherian mammal
Large Flying Fox (Pteropus vampyrus),1,Eutherian mammal
Large Hairy Armadillo (Chaetophractus villosus),1,Eutherian mammal
Large Tree Shrew (Tupaia tana),1,Eutherian mammal
Laxmann's Shrew (Sorex caecutiens),1,Eutherian mammal
Lesser Dwarf Lemur (Cheirogaleus medius),1,Eutherian mammal
Lesser Dwarf Shrew (Suncus varilla),1,Eutherian mammal
Lesser Egyptian Jerboa (Jaculus jaculus),1,Eutherian mammal
Lesser Kudu (Tragelaphus imberbis),1,Eutherian mammal
Lesser Long-Nosed Bat (Leptonycteris yerbabuenae),1,Eutherian mammal
Lesser Mouse-Tailed Bat (Rhinopoma hardwickii),1,Eutherian mammal
Lesser Short-Nosed Fruit Bat (Cynopterus brachyotis),1,Eutherian mammal
Lewis's Tuco-Tuco (Ctenomys lewisi),1,Eutherian mammal
Libyan Jird (Meriones libycus),1,Eutherian mammal
Lion (Panthera leo),1,Eutherian mammal
Little Brown Bat (Myotis lucifugus),1,Eutherian mammal
Little Free-Tailed Bat (Mops pumilus),1,Eutherian mammal
Little Golden-Mantled Flying Fox (Pteropus pumilus),1,Eutherian mammal
Long-Eared Hedgehog (Hemiechinus auritus),1,Eutherian mammal
Long-Eared Myotis (Myotis evotis),1,Eutherian mammal
Long-Footed Tree Shrew (Tupaia longipes),1,Eutherian mammal
Long-Tailed Chinchilla (Chinchilla lanigera),1,Eutherian mammal
Long-Tailed Hamster (Cricetulus longicaudatus),1,Eutherian mammal
Long-Tailed Weasel (Neogale frenata),1,Eutherian mammal
Lowland Paca (Cuniculus paca),1,Eutherian mammal
Lowland Streaked Tenrec (Hemicentetes semispinosus),1,Eutherian mammal
Mandarin Vole (Lasiopodomys mandarinus),1,Eutherian mammal
Maned Wolf (Chrysocyon brachyurus),1,Eutherian mammal
Maximovicz's Vole (Alexandromys maximowiczii),1,Eutherian mammal
Meadow Vole (Microtus pennsylvanicus),1,Eutherian mammal
Meerkat (Suricata suricatta),1,Eutherian mammal
Mexican Collared Anteater (Tamandua mexicana),1,Eutherian mammal
Middle-African Hedgehog (Atelerix albiventris),1,Eutherian mammal
Miniscule Shrew (Sorex minutissimus),1,Eutherian mammal
Moholi Bushbaby (Galago moholi),1,Eutherian mammal
Mongolian Five-Toed Jerboa (Orientallactaga sibirica),1,Eutherian mammal
Mongolian Gerbil (Meriones unguiculatus),1,Eutherian mammal
Mongolian Silver Vole (Alticola semicanus),1,Eutherian mammal
Mongolian Vole (Alexandromys mongolicus),1,Eutherian mammal
Mongoose Lemur (Eulemur mongoz),1,Eutherian mammal
Monito Del Monte (Dromiciops gliroides),1,Marsupial
Montane Guinea Pig (Cavia tschudii),1,Eutherian mammal
Mountain Beaver (Aplodontia rufa),1,Eutherian mammal
Mountain Cottontail (Sylvilagus nuttallii),1,Eutherian mammal
Mountain Goat (Oreamnos americanus),1,Eutherian mammal
Mountain Weasel (Mustela altaica),1,Eutherian mammal
Mt Carmel Blind Mole Rat (Spalax carmeli),1,Eutherian mammal
Muskrat (Ondatra zibethicus),1,Eutherian mammal
Naked Mole-Rat (Heterocephalus glaber),1,Eutherian mammal
Namaqua Dune Mole-Rat (Bathyergus janetta),1,Eutherian mammal
Namaqua Micaelamys (Micaelamys namaquensis),1,Eutherian mammal
Narrow-Headed Vole (Stenocranius gregalis),1,Eutherian mammal
Natterer's Bat (Myotis nattereri),1,Eutherian mammal
Nile Lechwe (Kobus megaceros),1,Eutherian mammal
Nile Rat (Arvicanthis niloticus),1,Eutherian mammal
Noack's Leaf-Nosed Bat (Hipposideros ruber),1,Eutherian mammal
Noctule (Nyctalus noctula),1,Eutherian mammal
North American Deer Mouse (Peromyscus maniculatus),1,Eutherian mammal
North American Opossum (Didelphis virginiana),1,Marsupial
North American Porcupine (Erethizon dorsatum),1,Eutherian mammal
Northern Flying Squirrel (Glaucomys sabrinus),1,Eutherian mammal
Northern Giant Mouse Lemur (Mirza zaza),1,Eutherian mammal
Northern Mole Vole (Ellobius talpinus),1,Eutherian mammal
Northern Pika (Ochotona hyperborea),1,Eutherian mammal
Northern Red Muntjac (Muntiacus vaginalis),1,Eutherian mammal
Northern Three-Toed Jerboa (Dipus sagitta),1,Eutherian mammal
Northern Tree Shrew (Tupaia belangeri),1,Eutherian mammal
Nutria (Myocastor coypus),1,Eutherian mammal
Nyala (Tragelaphus angasii),1,Eutherian mammal
Okapi (Okapia johnstoni),1,Eutherian mammal
Oldfield Mouse (Peromyscus polionotus),1,Eutherian mammal
Pacific White-Sided Dolphin (Sagmatias obliquidens),1,Eutherian mammal
Pale Spear-Nosed Bat (Phyllostomus discolor),1,Eutherian mammal
Pallas's Mastiff Bat (Molossus molossus),1,Eutherian mammal
Pallas's Pika (Ochotona pallasi),1,Eutherian mammal
Pallid Bat (Antrozous pallidus),1,Eutherian mammal
Plains Zebra (Equus quagga),1,Eutherian mammal
Potto (Perodicticus potto),1,Eutherian mammal
Prairie Vole (Microtus ochrogaster),1,Eutherian mammal
Proboscis Bat (Rhynchonycteris naso),1,Eutherian mammal
Puma (Puma concolor),1,Eutherian mammal
Pygmy Chimpanzee (Pan paniscus),1,Eutherian mammal
Pygmy Field Mouse (Apodemus uralensis),1,Eutherian mammal
Pygmy Slow Loris (Xanthonycticebus pygmaeus),1,Eutherian mammal
Red Deer (Cervus elaphus),1,Eutherian mammal
Red Fox (Vulpes vulpes),1,Eutherian mammal
Red Kangaroo (Osphranter rufus),1,Marsupial
Red Ruffed Lemur (Varecia rubra),1,Eutherian mammal
Red-Bellied Lemur (Eulemur rubriventer),1,Eutherian mammal
Red-Fronted Lemur (Eulemur rufus),1,Eutherian mammal
Red-Necked Wallaby (Notamacropus rufogriseus),1,Marsupial
Reddish-Gray Musk Shrew (Crocidura cyanea),1,Eutherian mammal
Reed Vole (Alexandromys fortis),1,Eutherian mammal
Rhim Gazelle (Gazella leptoceros),1,Eutherian mammal
Ring-Tailed Lemur (Lemur catta),1,Eutherian mammal
Roan Antelope (Hippotragus equinus),1,Eutherian mammal
Rodriguez Flying Fox (Pteropus rodricensis),1,Eutherian mammal
Root Vole (Alexandromys oeconomus),1,Eutherian mammal
Rough-Toothed Dolphin (Steno bredanensis),1,Eutherian mammal
Ruffed Lemur (Varecia variegata),1,Eutherian mammal
Sable Antelope (Hippotragus niger),1,Eutherian mammal
Saddleback Dolphin (Delphinus delphis),1,Eutherian mammal
Sanford's Brown Lemur (Eulemur sanfordi),1,Eutherian mammal
Sclater's Lemur (Eulemur flavifrons),1,Eutherian mammal
Sea Otter (Enhydra lutris),1,Eutherian mammal
Seba's Short-Tailed Bat (Carollia perspicillata),1,Eutherian mammal
Sei Whale (Balaenoptera borealis),1,Eutherian mammal
Short-Eared Elephant Shrew (Macroscelides proboscideus),1,Eutherian mammal
Short-Finned Pilot Whale (Globicephala macrorhynchus),1,Eutherian mammal
Short-Tailed Gymnure (Hylomys suillus),1,Eutherian mammal
Short-Tailed Shrew (Blarina brevicauda),1,Eutherian mammal
Silky Anteater (Cyclopes didactylus),1,Eutherian mammal
Silky Shrew Opossum (Caenolestes fuliginosus),1,Marsupial
Sitatunga (Tragelaphus spekii),1,Eutherian mammal
Slender Loris (Loris tardigradus),1,Eutherian mammal
Slender Tree Shrew (Tupaia gracilis),1,Eutherian mammal
Slow Loris (Nycticebus coucang),1,Eutherian mammal
Small Flying Fox (Pteropus hypomelanus),1,Eutherian mammal
Small Madagascar Hedgehog (Echinops telfairi),1,Eutherian mammal
Snowshoe Hare (Lepus americanus),1,Eutherian mammal
Soemmerring's Gazelle (Nanger soemmerringii),1,Eutherian mammal
Souther Three-Banded Armadillo (Tolypeutes matacus),1,Eutherian mammal
Southern African Pygmy Mouse (Mus minutoides),1,Eutherian mammal
Southern Naked-Tailed Armadillo (Cabassous unicinctus),1,Eutherian mammal
Southern Opossum (Didelphis marsupialis),1,Marsupial
Southern Red-Backed Vole (Clethrionomys gapperi),1,Eutherian mammal
Southern Tamandua (Tamandua tetradactyla),1,Eutherian mammal
Southern Tree Hyrax (Dendrohyrax arboreus),1,Eutherian mammal
Southern Two-Toed Sloth (Choloepus didactylus),1,Eutherian mammal
Sowerby's Beaked Whale (Mesoplodon bidens),1,Eutherian mammal
Sperm Whale (Physeter macrocephalus),1,Eutherian mammal
Spotted Hyena (Crocuta crocuta),1,Eutherian mammal
Springbok (Antidorcas marsupialis),1,Eutherian mammal
Star-Nosed Mole (Condylura cristata),1,Eutherian mammal
Steinbach's Tuco-Tuco (Ctenomys steinbachi),1,Eutherian mammal
Steller Sea Lion (Eumetopias jubatus),1,Eutherian mammal
Straw-Colored Fruit Bat (Eidolon helvum),1,Eutherian mammal
Striped Dwarf Hamster (Cricetulus barabensis),1,Eutherian mammal
Sunda Flying Lemur (Galeopterus variegatus),1,Eutherian mammal
Talazac's Shrew Tenrec (Nesogale talazaci),1,Eutherian mammal
Tammar wallaby (Notamacropus eugenii),1,Eutherian mammal
Tapeti (Sylvilagus brasiliensis),1,Eutherian mammal
Tasmanian Devil (Sarcophilus harrisii),1,Marsupial
Tattersall's Sifaka (Propithecus tattersalli),1,Eutherian mammal
Thick-Tailed Bush Baby (Otolemur crassicaudatus),1,Eutherian mammal
Thirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus),1,Eutherian mammal
Thomas's Shrew Tenrec (Microgale thomasi),1,Eutherian mammal
Thomson's Gazelle (Eudorcas thomsonii),1,Eutherian mammal
Tiger (Panthera tigris),1,Eutherian mammal
Townsend's Chipmunk (Tamias townsendii),1,Eutherian mammal
Trowbridge's Shrew (Sorex trowbridgii),1,Eutherian mammal
Tundra Shrew (Sorex tundrensis),1,Eutherian mammal
Vagrant Shrew (Sorex vagrans),1,Eutherian mammal
Walrus (Odobenus rosmarus),1,Eutherian mammal
Water Vole (Microtus richardsoni),1,Eutherian mammal
West Indian Manatee (Trichechus manatus),1,Eutherian mammal
Western European Hedgehog (Erinaceus europaeus),1,Eutherian mammal
Western Gray Kangaroo (Macropus fuliginosus),1,Marsupial
Western Jumping Mouse (Zapus princeps),1,Eutherian mammal
Western Roe Deer (Capreolus capreolus),1,Eutherian mammal
White Rhinoceros (Ceratotherium simum),1,Eutherian mammal
White-Beaked Dolphin (Lagenorhynchus albirostris),1,Eutherian mammal
White-Footed Mouse (Peromyscus leucopus),1,Eutherian mammal
White-Headed Lemur (Eulemur albifrons),1,Eutherian mammal
White-Tailed Deer (Odocoileus virginianus),1,Eutherian mammal
Woodchuck (Marmota monax),1,Eutherian mammal
Woodland Jumping Mouse (Napaeozapus insignis),1,Eutherian mammal
Yellow-Bellied Marmot (Marmota flaviventris),1,Eutherian mammal
Yellow-Pine Chipmunk (Tamias amoenus),1,Eutherian mammal
Yuma Myotis (Myotis yumanensis),1,Eutherian mammal
Zebu (Bos indicus),1,Eutherian mammal
